,text
134,"Con el 15% si nos alcanza bien para todas esas cajitas, no quiten esa tasa 🙏🏼"
135,Gracias guapo o guapa? ❤
136,Estaría super bien cash back con la tarjeta de crédito ❤️
137,Cuanto se gana de interés?
138,En dónde se puede retirar dinero?
139,"Hola buenas tardes, tuve problemas financieros y quiero recuperar mi tarjeta NU"
140,Gracias moradita ❤️ amo estar con ustedes y tener mi dinero ahí 👏
141,💜
142,¿Cómo la obtengo?
143,💜💜💜
144,ojalá actualicen los precios de las comisiones por retiro que aparecen en la app por ejemplo dice que inbursa cobra 17 y en realidad cobra 23.04
145,💜
146,Kermosoooooo!!!
147,"Suban la tasa al 17%,y que klar ya no sea su competencia !!!🙌"
148,A alguien le está fallando la app???
149,"💜 yes, ya formo parte de la comunidad. ¿Cuándo se convertirán en banco? ¿Ya tienen fecha?"
150,"Nu, lo mejor💜"
151,💜
152,Me dieron la tarjeta de crédito pero no tiene crédito aparece en 0
153,Muy buena atención! 💜
154,Amo mi moradita gracias Nu💜
155,💜
156,Por qué no me han autorizado la tarjeta de crédito si ya tengo mucho la de débito😢😢
157,💜
158,Obvio que siiii 💜
159,"En qué se basan para que te den un aumento si es mi tarjeta de uso diario ?

Ya no alcanza con esta economía, una línea baja."
160,Me comparten el link para registrarme
161,Tengo varios meses solicitando la tarjeta de crédito 😢 y solo me dicen que estoy en espera😢
162,💜
163,"deberían habilitar PAGAR la TDC en OXXO así como la competencia, @stori.card
😁"
164,"Muy bien. Para una economía saludable, necesitamos manejar las tasas de interés de manera equilibrada. Aumentarlas frena el gasto excesivo y la inflación, fomentando el ahorro. Pero en momentos de estancamiento, mantenerlas bajas estimula la inversión y el consumo. Debemos adaptarnos a estas fases económicas para mantener un equilibrio adecuado. Creo que lo importante es saber en qué fase se encuentra nuestro país y tratar de entrarle, es lo más saludable."
165,"Ustedes han marcado la diferencia contra la banca tradicional que te quiere cobrar hasta por respirar y han inspirado a que la gente empiece a invertir en algo más atractivo.

Más allá de la TIIE, en términos de negocio integral y los índices de captación que generan, tómenlo en cuenta porque la gente queremos HUIR de aquellos que no ofrecen nada. Así que no sean parte “del montón” 😉"
166,"Y ese blog, como se encuentra?"
167,Bueno en realidad no explicaron nada
168,"Oye nu, tengo 2 meses que abrí mis cuentas y no me han llegado mis tarjetas. Con quien me comunico?"
169,Gracias Nu por los nuevos aprendizajes 💜
170,Con la moradita si voy a Tlaxcala 💜
171,🇫🇷 🇮🇹 🍕
172,"Quiero saber si soy el único que no puede acceder a su Cajita. Y si es un problema del sistema, en cuánto tiempo podría acceder a ella?"
173,Cuerna⛱️☀️🥂
174,Le hace falta su buen Cashback y sería absolutamente perfecta 😍
175,Avándaro 🌳🐕‍🦺
176,¡Hola! No me funciona bien la app y algunas coasa no cargan ni me aprecen mis cajitas por ningún lado:(((
177,"Hola, me hicieron una transferencia de bbva a nu, y no se ha reflejado en mi cuenta 😔"
178,🏖️
179,🏝️ 💜
180,🛍️🍽️
181,👽🛸🪐
182,🛍️🛒👌🏼
183,"Hola, intento realizar una transferencia de BBVA a NU y el dinero se me regresas ☹️"
184,@nu.mx oigan disculpen ya hice mi tramite para la tarjeta de crédito garantizada pero no me llego que puedo hacer
185,Me hicieron sacar una lágrima de felicidad 🥹 jeje
186,Nu siempre será la mejor para invertir👏👏
187,"Te amo, tío Nu. 🔥💜👏🏻 Gracias por ser siempre transparente 💜"
188,Nu te amo hermosa
189,👏🦄 noticias que alegran el día
190,Tqm Nu
191,💜💜💜💜
192,😍😍😍
193,Ya háganse banco 💜
194,🙌🙌🙌💜💜💜
195,Amo Nu 💜
196,👍
197,💜 💜
198,Tkm ❤️ @nu.mx
199,@imiranda.b
200,No contraten NU
201,Que les parece cambia tu nomina a Nu y le ponen Numina! con Nu!
202,Como hacer para que me presta el dinero que me ofrecen
203,@joana_sagar
204,@smah_130 👀 🧳🏝️
205,"Pésimo servicio, no sé refleja el dinero y dicen que es problema del otro banco"
206,No confíen su dinero
207,"Excelente, saludos"
208,
209,💜
210,No confíen su dinero
211,🙌🙌🙌Excelente saludos 🙂
212,
213,Con malas.tasas no hay nada que hacer 😢
214,Ya denme la tdc 😢
215,Ya voy dos meses esperando mi reposición de mi tarjeta y nadie la entrega me dicen que la empresa de envíos hace que la entrega y no entrega nada
216,Yo amo el 💜💜💜 y mo moradita Nu mucho mas 🫶🏻🥰✨💜💜💜
217,Siempre inuvadores 👏👏
218,Ya pongan cajeros
219,cuándo van a anunciar la nueva tasa que entrara en vigor el 15 de abril?
220,"No contraten, haces transferencias de otros bancos, sale exitosa la transferencia pero no sé refleja y le echan la culpa al otro banco"
221,💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜
222,"Hola, no obtengo alguna respuesta de una compra que fue cancelada y no he recibido ningun reembolso"
223,Que chido Nu 💜
224,💜💜💜💜
225,Wow!!!
226,OMmmmmm 🧘‍♂️
227,🙏🏼💜
228,"No contraten, haces transferencias de otros bancos, sale exitosa la transferencia pero no sé refleja y le echan la culpa al otro banco"
229,💜Hola tío NU 💟
230,Wow! El nirvana económico
231,
232,
233,😂 ok ññññññññvń no bbvn.
234,Numasté 🧘🏻‍♂️🪻
235,❤️
236,💜💜💜💜 tío nu quiero cashback para que mi tarjeta sea perfecta
237,"Veremos cómo termina el final de temporada el 15 de Abril, será que nos vemos en la siguiente temporada o hasta ahí llegó la serie 😎"
238,"Tio Nu, saquen al mercado una tarjeta de crédito con más beneficios, cashback, puntos, millas, etc. Algo diferente a la básica."
239,La mejor 💟💟💟
240,Muy mal que la tasa será del 9%🙄🙄🙄🙄
241,Ya digan cómo van a cambiar las tasas xfa
242,💜💜💜
243,🟣🟪🟣🟪🚀
244,👏👏👏👏👏👏👏👏👏
245,Love you @nu.mx ❤️
246,Tasa del 15%!
247,Dejen la tasa al 15 🙌 ya tenemos cultura de ahorrar no nos falles querido NU los demás no gustan 😕
248,Estoy fascinado :) plus mi color favorito es el morado lol me enaltezco cada q pago XD
249,Cómo que van a bajar la tasa el 9%??? Todos nos vamos a salir!
250,"Excelente, Nu , bendiciones"
251,"Siiii la amamos 💜 y si se conserva la tasa del 15% después del 15 de abril….y también si después de 2 años con ustedes ya me aumentan mi línea de crédito, los amaré más 💜"
252,Hola! Tengo la NU débito la ame!! Aún no me dan la de crédito 😢!! Que se puede hacer?
253,No bajen tanto su tasa del 15% 🥺 amo a Nu❤️
254,"Hola, cuál es la información?"
255,"Máximo bajenla al 12% por favor, no nos queremos ir Sr. Nu"
256,Dejen la Tasa del 15% De Por Vida 💜 Ya Me Quiero Retirar 😢
257,Cuando me dan un aumento 🥺
258,"Mínimo lo de cetes tío NU, si no ya saben lo que le pasó a weyBanco 🤭"
259,Necesitamos cashback en la tarjeta de credito 😂
260,Yo creo que puras mentiras ami me llego las 2 de débito y crédito y quise comprar con la de crédito y me dicen saldo insuficiente ya no entendí cual es crédito que te esta dando o que tengo que hacer dígame ami me gusta porque si te saca de apuros..
261,Me gusta encanta su tarjeta tengo la de crédito y débito. Como sugerencia me gustaría que el código de 3 dígitos de la tarjeta virtual fuera dinámico como es en otros bancos y no fuera el mismo ya qué así da más seguridad que sea un código que cambia cada minuto. ✌️
262,"Hola.
Es una lastima que vendan nuestros datos a terceros para que nos estén llamando.

Llamadas que son molestas por la forma en que abordan al usuario.

Esto habla que ustedes son parte del sistema.

Creí que eran una empresa que haría el cambio y serian disruptivos pero sigue siendo lo mismo."
263,Muy mal que la van a bajar al 9% 😡😡😡😡😡
264,Obvioooooo
265,
266,
267,"Sigue la novela hasta el 15 de abril, veremos si termina con final feliz o un final trágico"
268,Aún no pero ya voy a .
269,"Gracias,Nu es excelente Bendiciones"
270,"Mi limite de crédito no ha aumentado en 2 años, tengo todo el crédito ocupado y con la baja del rendimiento del 15% tendrás que buscar mas opciones"
271,Yo uso mi tarjeta virtual. 💜
272,No la sé usar 😢
273,Cómo funciona una tarjeta de crédito?
274,Cómo la puedo obtener??
275,"Hola.
Es una lastima que vendan nuestros datos a terceros para que nos estén llamando.

Llamadas que son molestas por la forma en que abordan al usuario.

Esto habla que ustedes son parte del sistema.

Creí que eran una empresa que haría el cambio y serian disruptivos pero sigue siendo lo mismo."
276,"Una felicitación a ellas a su equipo de producto hacen un trabajo impecable NU es mi app favorita financiera y además es la que da mejores rendimientos sigan así porfa, excelente UX/UI quisiera trabajar ahí"
277,🙌🙌🙌🙌🙌
278,👏👏👏
279,💜✨
280,Hace meses la solicite y no me la han mandado
281,💜💜💜
282,Ya van a quitar la tasa del 15%??? Para ir buscando otras opciones de inversión!!
283,☺️☺️💜💜💪🏻💪🏻
284,💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜
285,Cómo está eso de que van a bajar la tasa a menos que lo que dan los CETES que ni tienen riesgo…. ????
286,👏👏👏🔥🔥 @isasolaresr
287,Muy crack @isasolaresr 🔥🔥🔥!! La mejor app de MX 🚀
288,Oigan a mí JAMÁS me permitió crear múltiples cajitas. ¿A qué se debe?
289,"No quisiera buscar otra opción, pero si bajan la tasa al 9% me pierden😢"
290,Amo mi miradita 💜
291,Mi app esta actualizada y todavía no tengo la opción de varias cajitas :(
292,Wow! Amo!
293,Cómo que van a bajar al 9% no mmn la era NU llegó a su fin🔥
294,Tengo mis esperanzas en la era moradita! No bajen tanto sus tasas 😢
295,
296,No bajen el 15%de la cajita por favor
297,"Una lastima de que bajen su cajita, prometian mucho bureno a buscar a otro amor"
298,"No bajen la tasa, por favor 😢"
299,"No me deja hacer la solicitud, no me llega el SMS de confirmación a mi cel 😢"
300,No bajen tanto la tasa 🙏🏻
301,"De plano si bajan la tasa, me largo. Y todos mis amigos involucrados."
302,No bajen la tasa @nu.mx conservala o alguna otra opción!!!
303,"Nu ya anda todo YouTube diciendo que el 15 de a abril que vas a bajar si o si la tasa del 15% anual en la cajita, aunque ya se sabia, Yo tengo mis dudas que de golpe del 15% bajes al 9% anual, porque todos ya andan diciendo a donde irse con su dinero, yo tengo mis dudas, porque siento que no te vas a quedar atrás que las demás empresas, sorprendenos Nu, ya te la sabes! 💜"
304,Cómo que van a bajar su tasa al 9%??????😢😢😢😢😢😢 Que decepción
305,"Hola, voto por los macarrones, me encantan!❤️"
306,"Hey Nu, volverás al 9%? Gracias de antemano."
307,"No puedo usar la tarjeta física desde ayer, nadie atendió mi reporte. Quién me puede solucionar?"
308,"Hola, aun no me permite entrar a la app, saben hasta cuando seguira el problema.??"
309,Palomitas 🍿
310,Macarrones
311,Un shushi morado 💜
312,"Su producto sólo es interesante por los rendimientos de la app, si empiezan a dar menos rendimiento que cetes y bonddia que es un fondo con liquidez diaria pues mejor saco mi dinero y lo pongo en cetes"
313,"Tengo el mismo problema en que no me permite entrar a la APP, ayudar equipo de NU y comunidad que tiene ese mismo problema"
314,Las palomitas
315,Dejar el 15% no creo que sea buena idea. Esperamos otra buena propuesta!!
316,Espero se solucione El problema de la App a la brevedad.
317,El Sushi 🍣
318,Hola. No puedo entrar a la aplicación. Primero no aceptaba mi contraseña (a pesar de que sí estaba correcta) y ahora al querer restablecerla no recibo el correo con para poder hacerlo. Necesito ayuda por favor.
319,No puedo ingresar a la App desde hace dos días. En servicio a cliente no dan soluciones y dicen que el problema podría restablecerse hasta dentro de 72 hrs en ese supuesto ya serían 5 días sin poder tener acceso al dinero. No resuelven y no dan explicación de lo que sucede y del porque de estás fallas. Cómo clientes merecemos saber que esta pasando.
320,Saquen su dinero los que puedan la cosa pinta mal...muy mal
321,No sé puede entrar a la aplicación
322,La peor tarjeta que hay 😂
323,Mujerononessss 💜💜💜💜!!!!!
324,No solucionan NADA jajaj
325,💜💜💜💜
326,Yo tampoco puedo entrar a la app ya llevo 3 días y no hay solución….😭
327,Invitenme a la prox! ❤️
328,👏❤
329,😍😍😍😍😍
330,"@omareducacionfinanciera problemas en app, te ha pasado?"
331,Ya han pasado más de 72 horas Desde que dijeron que los de soporte se iban a cómo se conmigo y es hora que no lo han hecho!!!!! @condusefoficial
332,Cajitas para todo!!! 💜💜💜
333,😓no tengo acceso a la APP
334,"Excelente,Nu , me gusta como van revolucionando e innovando , Bendiciones"
335,"Que va a pasar después del 15 de abril, van a mantener la tasa de 15%?"
336,"Aún no me liberan las cajitas, me enviaron el correo pero no están en mi app 🥹🥹🥹"
337,A modelo mais lindaa!❤
338,A mais linda mesmo!
339,❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️
340,¿Cómo así? Ofrecen el 15% de rendimiento anual y la promoción no duró ni un año. ¿Ahora tendremos el 9% de rendimiento 🤡 o es mi mala suerte y todos los instrumentos de inversión en los que tengo fe se vienen abajo? Al menos debieron dejarla para los que se sumaron en el periodo de noviembre a abril. 🙁
341,Que asco de tarjeta
342,Linda demaaaais 🤍
343,Hail Nu 🙋🏻‍♂️
344,💜💜💜💜💜
345,💜💜💜💜💜
346,Ya han pasado más de 72 horas Desde que dijeron que los de soporte se iban a cómo se conmigo y es hora que no lo han hecho!!!!! @condusefoficial
347,A mi me aumentaron mi credito😍!! Aunque fue poco jaja
348,La era morada is in da house 💜🤜🏻🤛🏻
349,Gracias por formar parte de su familia NU
350,"Excelente,Nu LA MORADITA QUE ESTA CAMBIANDO EL MUNDO 🌍"
351,Los mejoreeeeees 💜
352,Excelente servicio. La mejor plataforma 😍♥️ #EstoyEnamoradoDeNu
353,"Después de casi un año me aceptaron mi crédito y no tan alto penosamente jaja, ¡gracias!, espero que lleguen a ser un banco formal. 💪🏼💜"
354,Tasa del 15% todo el año!🔥
355,"No me deja ingresar a la app desde ayer, no esta funcionando"
356,Nu es decepcionante que van 4 veces que me envían mi tarjeta por 99minutos y la paquetería no la entrega. No quieren enviarme mi tarjeta por otra paquetería porque dicen que no se puede. Esto es un pésiml servicio de su parte.
357,Tengan cuidado con esta empresa. Dicen que ya me entregaron la tarjeta y no es asi. Les llamé para cancelar y me piden mucha información personal. Ademas en la app puse que no recibí la tarjeta y hacen caso omiso y te ponen el starus de entregada. Y el INE por k no lo piden al entregarla. Tengan cuidado. Pondré una denuncia ante CONDUCEF
358,"Buenos días, soy colombiano residente en médico y estoy tratando de solicitar mi TDC… No obstante no me dan respuesta de sí me la van a otorgar o no. Ya he pasado la solicitud dos veces."
359,Después de 11 meses finalmente me aumentaron el crédito. Ahora a seguir igual de responsable.
360,
361,
362,Chulada 🔥🔥🔥🔥
363,💜 La
364,"En esta morada llamada Nu, todos somos residentes 💜💜💜"
365,"Hola buenas tardes, una pregunta ami esposo le llegaron las dos tarjetas crédito y débito pero en crédito le aparece en cero me puede decir que significa que se tiene que hacer?"
366,Gracias Nu 💜 por generar oportunidades ✨💜✨💜✨💜
367,TE AMO NU 😭
368,Tengo dos familia moradas 👌🙃
369,"No bajen en abril la tasa, porfis. Estoy juntando para mi terreno 🙏🏿🥺"
370,No se ve reflejada mi transferencia
371,💜💜💜
372,No más no vayan a bajar las tasas!!
373,"No me deja aumentar el límite para seguirle metiendo dinero, y ya subí mis documentos y no me deja, alguien sabe donde puedo asesorarme?"
374,Los amo mucho Nu pero me gustaría aumentar mi línea de crédito y ya no me han ofrecido aumento 🥹
375,Realice una transferencia a mi esposo de otra cuenta a Nu y no llegaaaaa
376,@nu.mx como puedo solicitar la de crédito? Gracias
377,"Omg! Nos encanta, estaría increíble poder colaborar 😍"
378,"Me llega a cada rato este anuncio, no tengo ni idea de qué se trata, que son cajitas?? Alguien me puede explicar por favor?"
379,"Buenas noches, felicidades. Lo malo es que a mi no me quieren aprobar mi moradita. 👍🏻🤧"
380,Excelente idea 💡
381,Q chingones pero se me hace absurdo los préstamos q ofrecen q si no te aparece esa promoción no puedes adquirirlos eso no me parece
382,❤
383,🤓
384,"No me permite entrar a la app, ni disponer de mi dinero, ni restablecer mi contraseña, el equipo de call center no sabe que pasa y no saben cómo solucionarlo, dos días con este tema y ni resuelven"
385,"Hola de nuevo, tío @nu.mx 💜 soy su sobrinu otra vez molestando, ¿cómo está? Espero que bien, pregunta. ¿Cuando habrá depósitos en tiendas de conveniencia? Yo y muchos/as coincidirán conmigo que es algo primordial para el tema de nuestra comodidad. Gracias. Pd: necesitamos el gorrito Nu 😭✨"
386,@damned04 😅
387,Por fiiiiiin!!!!👏👏👏👏👏👏 Gracias!!!!!
388,"Hummm... que chique!!!! Êta ""minina"" danada!!!👏👏👏👏👏"
389,💜 no tengo opción a las cajitas? Solo tengo una 🥹
390,Por fin!! Te quiero mucho Nu 💜
391,"Me encanta Nu, muchas cajitas y el 15%!!! 💜💜💜"
392,Ami nada que me aceptan para tenerla 😢
393,Gracias NU❤
394,Muchos objetivos!! 💜💜🤓🤓
395,Me encanta Nu. 💜
396,Lo mejor!! Ya solo espero que me den mi tarjeta de crédito porfa 🙏🥹
397,Justo lo que necesitaba 🙌🏻
398,Me encantaría crear cajitas… si tan solo pudiera crear mi cuenta de débito :(
399,😍😍😍
400,Amamos los $10k MXN generados en cajitas 💜 qué pasará el 15 de abr % ?
401,Los mejores desde el día 1 💜💜💜
402,"Urge que digas cómo va a quedar el rendimiento tío nu antes q bajen más los CETES para alcanzar a cambiar , piensa en tus clientes 💜 d todos modos ya me ganaste por tus otros servicios"
403,"Excelente tarjeta, cuando abren los préstamos? 😍"
404,Espero que pronto se puedan hacer depósitos en efectivo
405,"Por favor, lleguen a mas paises como ECUADOR <3."
406,Yo los amo ❤
407,"Bueno, ojalá extiendan el tiempo de pago hasta 20 días, como otras tarjetas :)"
408,👏Amo mi moradita!💜💜💜
409,Sigan dejando el 15% de interés a la vista. ES UN GRAN DIFERENCIADOR entre NU y las otras SOFIPOS. Creo que por eso los inversionistas estamos muy contentos con ustedes ☺️
410,Ya pongan recompensas tipo puntos o millas por favor!
411,💜💜💜 les amo.
412,"El mejor banco de México, con el mejor rendimiento 🔥"
413,💜💜💜✨Los amo✨ 💜💜💜
414,Hola! Es posible pagar tarjetas de crédito de otros bancos e impuestos de SAT desde la app de Nu?
415,"Se viene cosas más chiditas, @nu.mx? 😮"
416,Súper feliz con mi moradita. Me aumentaron el crédito y ya tengo mi guardadito en la cajita . No cambies @nu.mx
417,💜💜💜💜💜💜💜💜💜#NU💜💜💜💜💜💜💜💜💜💜
418,Ya saquen cashback
419,Aún no tengo cajitas 🥹 Y todos los q metí a Nu ya tienen 🫠
420,No tenemos llenadera jajaja 😂
421,Si hace falta un aliciente mas jajaja
422,Dónde la puedo solicitar ya cuento con la tarjeta de débito
423,Felicidades a Nu ❤️
424,Cashback de 0.5% o 1% no estaría mal
425,Amamos a la moradita pero si seria paefecta con un cashbak aunque sea pequeño
426,"Desde que pusieron la radiografía estancaron mis aumentos :(
Qué pasó tío NU?"
427,💜💜💜💕
428,Cómo le puedo hacer para rastrear el número de guía
429,😍
430,Hola yo soypablo flores
431,❤️
432,Desde que llegó Nu puedo luchar contra la inflación. 💜💪🏻 Muchas gracias por todo Nu.
433,Yo amo la moradita 💜
434,Los mejores 👏
435,"Yo los amo, no me fallen nunca 🫶🏻"
436,¿Qué pasará el 15 de abril? 🥺
437,"Ya activen las cajitas extras, pofavoo. Gracias"
438,"💜 es la mejor, es mi primer tarjeta y la amo 💕😍"
439,Ya saquen los préstamos personales en efectivo
440,Cómo funciona Nu ? Es tarjeta de crédito o débito ?
441,Muchas gracias por mi aumento de crédito ☺️💜
442,💜💜💜💜💜
